,license,license_url,author,photo_url,original_url,file_path,card_number
10,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Centro de Innovación UC Anacleto Angelini,https://www.flickr.com/photos/centrodeinnovacionuc/38604801501/,https://drive.google.com/uc?id=1U-pAKlz0ACXu_4GYjpgf2phO7DrVMubI,63923,22
11,Attribution License,https://creativecommons.org/licenses/by/2.0/,Leila Steffens,https://www.flickr.com/photos/inthemomentphotographybyleila/37645927011/,https://drive.google.com/uc?id=1Swe73qGzzMl3ewvRBZa6PG8jgcEzfqbg,63926,23
12,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,The Society of Motion Picture and Television Engineers,https://www.flickr.com/photos/smpte/22122896174/,https://drive.google.com/uc?id=1Tcwh2AeCdsFIOdzveLdIaVWvHyp4gWtb,63912,24
13,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Marques Stewart,https://www.flickr.com/photos/mjstewart/2705676088/,https://drive.google.com/uc?id=1V9SEtFL1Af3gO6Y3ONVOvJxelVDuarZJ,63931,25
14,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Kelly Higgins,https://www.flickr.com/photos/kmhphotographyforever/5655580067/,https://drive.google.com/uc?id=1QT08Yap1q3KDUGv5QTsoFoWxpz-ld69_,63894,28
15,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,NASA Johnson,https://www.flickr.com/photos/nasa2explore/9503387950/,https://drive.google.com/uc?id=1U-hwNCRapMqhBzpP6t4YpJCEA3Tu_8Na,63085,31
16,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,Spicy,https://www.flickr.com/photos/spicypix/27925332857/,https://drive.google.com/uc?id=1YBVEViwMoqE3JWnCBedMkt8pUcTHW-QV,63958,33
17,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Jennifer Pack,https://www.flickr.com/photos/petitshoo/2901819121/,https://drive.google.com/uc?id=1SKIUZs0mdJzPQwd7G0O_BqW9VYUAdkv7,63072,37
18,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Benson John,https://www.flickr.com/photos/ben-world/8361048456/,https://drive.google.com/uc?id=1WzNqcwd9uJHmWyfng-GiID3hLJLNIIvJ,63975,38
19,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Colações de Grau UFG,https://www.flickr.com/photos/colacaoufg/23263384271/,https://drive.google.com/uc?id=1eKho-iBhGB0mQ61nRvR2xgRP9AuorW0b,63250,41
20,Attribution License,https://creativecommons.org/licenses/by/2.0/,Troms Arbeiderparti,https://www.flickr.com/photos/tromsarbeiderparti/4067544443/,https://drive.google.com/uc?id=1FcEKOjpsEkpxBnnlE5zSAKMIreIneAbQ,63744,42
21,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,cndeangelis,https://www.flickr.com/photos/cndeangelis/9249080397/,https://drive.google.com/uc?id=1hM_3HjEN6TxjcbBe3toFJo-iXs9jbfu0,63280,43
22,Attribution License,https://creativecommons.org/licenses/by/2.0/,Santiago Zavala,https://www.flickr.com/photos/dfectuoso17/12764291123/,https://drive.google.com/uc?id=1WUgtPAoBrGgCsyxGVO2QncPRK6SlqPEf,63951,44
23,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Camp ASCCA,https://www.flickr.com/photos/campascca/14725597871/,https://drive.google.com/uc?id=1V_1Ow14uHoW-st-f2Y5JqOvDkHLOo67i,63927,45
24,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,卓 溪,https://www.flickr.com/photos/zhuo-xi/28674147298/,https://drive.google.com/uc?id=1Z7PUgvoW03JYgQAF18LnARZwVEuPEdJ4,63988,48
25,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Devon Christopher Adams,https://www.flickr.com/photos/nooccar/25436476154/,https://drive.google.com/uc?id=1XmjzEDMmlKOkguj4O9YIENxduGGJmf5B,63962,52
26,Attribution License,https://creativecommons.org/licenses/by/2.0/,Partenariat Ouagadougou,https://www.flickr.com/photos/146361060@N07/27387360549/,https://drive.google.com/uc?id=1sTwVZwQuveJNS2MMLrP63v4AL5cqNR36,40924,53
27,Attribution License,https://creativecommons.org/licenses/by/2.0/,zharif hussein,https://www.flickr.com/photos/zharif/3425310348/,https://drive.google.com/uc?id=1llBkudDhs6qjFEH1g6yVGeBvNF5RPdJ3,40881,54
28,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Ash Tanasiychuk,https://www.flickr.com/photos/formatnoauto/33102329734/,https://drive.google.com/uc?id=1LbgtRyW3gjtTbQ_iOt2dH3p_9Ryn33-3,882,55
29,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Pēteris Caune,https://www.flickr.com/photos/cuu/3426301571/,https://drive.google.com/uc?id=1tqU_0lJDEgX_vS__hUblqcD1loUMvud4,50875,59
30,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Peter Sims,https://www.flickr.com/photos/petersims/28595140098/,https://drive.google.com/uc?id=1u9_zSAvlWjnNKKRg1JAzh2l5ZmalgUUI,40947,60
31,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Scottish Government,https://www.flickr.com/photos/scottishgovernment/42137597555/,https://drive.google.com/uc?id=1lTWIN5kmygRCtt6GMEOLU12IcXIKgbXe,40878,61
32,Public Domain Dedication (CC0),https://creativecommons.org/publicdomain/zero/1.0/,Sebastiaan ter Burg,https://www.flickr.com/photos/ter-burg/35062639960/,https://drive.google.com/uc?id=1vFzpG9NwWUqMuvFa9rPmwIYzWE8J0Zf5,50897,67
33,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Jim Renaud,https://www.flickr.com/photos/sting/634742654/,https://drive.google.com/uc?id=1PCr7UxyqAHNFVyQyW5hbVnl72Bz7l_SS,959,70
34,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,Daniel Shyman,https://www.flickr.com/photos/daniel_shyman/41137692784/,https://drive.google.com/uc?id=1r8xPz7tTZA2Ep7IS7qtJHcMXmsBhqLYy,50002,73
35,Attribution License,https://creativecommons.org/licenses/by/2.0/,Kelly Mercer,https://www.flickr.com/photos/kellymercer/4930662190/,https://drive.google.com/uc?id=1P9eBT2-v-oP6rkyCDyl7dsnZ9by5nByj,40005,75
36,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Armistead Booker,https://www.flickr.com/photos/armisteadbooker/6766514843/,https://drive.google.com/uc?id=1tVD6C074vLYHxH_C3J2DHjyuBlpHV67Y,50017,76
37,Attribution License,https://creativecommons.org/licenses/by/2.0/,ha nguyen hoang,https://www.flickr.com/photos/125733632@N03/39066019295/,https://drive.google.com/uc?id=1s1EPi8PZGlKqk5CGZi04cS8qmCxrRZ7t,50861,77
38,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,Khói Cảm Xúc (0 9 8 3 1 2 3 1 0 6),https://www.flickr.com/photos/143027205@N07/26130053048/,https://drive.google.com/uc?id=1vo42hNJGSZPYVfXcdSEyF3RfyPnNZQ2O,40941,81
39,Attribution License,https://creativecommons.org/licenses/by/2.0/,Partij van de Arbeid,https://www.flickr.com/photos/pvdanl/4727363448/,https://drive.google.com/uc?id=1O1PspQuq2K30H-eGlvJfxNdHdEhZF9GB,898,82
40,Attribution License,https://creativecommons.org/licenses/by/2.0/,Montclair Film,https://www.flickr.com/photos/montclairfilmfest/28463274378/,https://drive.google.com/uc?id=1tkbj4Cx4MuWhG2QC0qTMIMDmEsMo4mKV,50013,84
41,Attribution License,https://creativecommons.org/licenses/by/2.0/,Huti,https://www.flickr.com/photos/hutiphoto/30999779585/,https://drive.google.com/uc?id=1MSYXiEjBWmvjDWrjds-O4ijdGSmJWaU1,877,86
42,Attribution License,https://creativecommons.org/licenses/by/2.0/,Jill Carlson (jillcarlson.org),https://www.flickr.com/photos/jill_carlson/29306367780/,https://drive.google.com/uc?id=1mTYxnTdbX186NPEoyD852XwBxf3HnuDp,40902,88
43,Attribution License,https://creativecommons.org/licenses/by/2.0/,Centerpartiet (official),https://www.flickr.com/photos/centerpartiet/10606541554/,https://drive.google.com/uc?id=1ppWDzkCF1WIc66JwnSlk3OVYqfSXT1DG,40910,89
44,Attribution License,https://creativecommons.org/licenses/by/2.0/,ErrysF,https://www.flickr.com/photos/72851600@N04/34755626694/,https://drive.google.com/uc?id=1g2HDkX8lLweNHkFzD7DPlrsOO2qux7uL,40864,91
45,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,amslerPIX,https://www.flickr.com/photos/amslerpix/28773780233/,https://drive.google.com/uc?id=1xv_9hsY7S7tEcLsgwp4t90xLRKiieXL6,40959,92
46,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Chinwag,https://www.flickr.com/photos/chinwagcom/3323462571/,https://drive.google.com/uc?id=1Vrrz-WnNp4ZfYAGcie0IRzas_9m8UDBV,40044,95
47,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,peiflickr,https://www.flickr.com/photos/peiphotos/2656495486/,https://drive.google.com/uc?id=1sxqqUlza6J9_yB-o37KOVLTzitV7XiRJ,50880,98
48,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Studentenes Fotoklubb,https://www.flickr.com/photos/studentenesfotoklubb/32962700786/,https://drive.google.com/uc?id=1NiT2S3UjFZL5hVgyjdrkAbOE-T7RGXJv,903,99
49,Attribution License,https://creativecommons.org/licenses/by/2.0/,Greg Phillips,https://www.flickr.com/photos/124379194@N08/14439128894/,https://drive.google.com/uc?id=1pDfcl9prbpzGSJZ00QS7cqZdZexjHxTq,40914,101
50,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,Alpha,https://www.flickr.com/photos/avlxyz/33728367765/,https://drive.google.com/uc?id=1Vmzs_9K1dHag-v1nVAGqgcq3R2Ujvc7U,40045,102
51,Attribution License,https://creativecommons.org/licenses/by/2.0/,travis hinnen,https://www.flickr.com/photos/travishinnen/5531915205/,https://drive.google.com/uc?id=1NcjM6FCKYDbT8lFUCwx0c8B7amz4kQxQ,908,103
